item_id,week,price,units_sold,weekly_revenue,weekly_profit
101,1,11.37,22,250.14,11.0
101,2,11.37,31,352.47,15.5
101,3,11.37,21,238.77,10.5
101,4,11.37,27,306.99,13.5
101,5,11.37,26,295.62,13.0
101,6,11.37,20,227.4,10.0
101,7,11.37,11,125.07,5.5
101,8,11.37,19,216.03,9.5
101,9,11.37,24,272.88,12.0
101,10,11.37,14,159.18,7.0
101,11,11.37,21,238.77,10.5
101,12,11.37,14,159.18,7.0
101,13,11.37,23,261.51,11.5
101,14,11.37,25,284.25,12.5
101,15,11.37,21,238.77,10.5
101,16,11.37,33,375.21,16.5
101,17,11.37,16,181.92,8.0
101,18,11.37,15,170.55,7.5
101,19,11.37,11,125.07,5.5
101,20,11.37,24,272.88,12.0
101,21,11.37,23,261.51,11.5
101,22,11.37,21,238.77,10.5
101,23,11.37,18,204.66,9.0
101,24,11.37,29,329.73,14.5
101,25,11.37,12,136.44,6.0
101,26,11.37,20,227.4,10.0
101,27,11.37,26,295.62,13.0
101,28,11.37,28,318.36,14.0
101,29,11.37,21,238.77,10.5
101,30,11.37,28,318.36,14.0
101,31,11.37,21,238.77,10.5
101,32,11.37,15,170.55,7.5
101,33,11.37,30,341.1,15.0
101,34,11.37,28,318.36,14.0
101,35,11.37,19,216.03,9.5
101,36,11.37,32,363.84,16.0
101,37,11.37,32,363.84,16.0
101,38,11.37,27,306.99,13.5
101,39,11.37,21,238.77,10.5
101,40,11.37,11,125.07,5.5
101,41,11.37,25,284.25,12.5
101,42,11.37,19,216.03,9.5
101,43,11.37,19,216.03,9.5
101,44,11.37,24,272.88,12.0
101,45,11.37,25,284.25,12.5
101,46,11.37,28,318.36,14.0
101,47,11.37,20,227.4,10.0
101,48,11.37,14,159.18,7.0
101,49,11.37,24,272.88,12.0
101,50,11.37,21,238.77,10.5
101,51,11.37,20,227.4,10.0
101,52,11.37,18,204.66,9.0
102,1,12.97,123,1595.31,1043.04
102,2,13.96,104,1451.84,984.88
102,3,13.13,112,1470.56,967.68
102,4,11.78,133,1566.74,969.57
102,5,11.99,175,2098.25,1312.5
102,6,11.68,140,1635.2,1006.6
102,7,11.96,109,1303.64,814.23
102,8,12.93,130,1680.9,1097.2
102,9,13.33,94,1253.02,830.96
102,10,13.78,78,1074.84,724.62
102,11,13.25,152,2014.0,1331.52
102,12,12.13,118,1431.34,901.52
102,13,12.01,120,1441.2,902.4
102,14,11.17,143,1597.31,955.24
102,15,11.57,145,1677.65,1026.6
102,16,12.16,156,1896.96,1196.52
102,17,12.74,113,1439.62,932.25
102,18,13.56,84,1139.04,761.88
102,19,13.12,137,1797.44,1182.31
102,20,11.9,135,1606.5,1000.35
102,21,12.07,143,1726.01,1083.94
102,22,11.29,116,1309.64,788.8
102,23,12.17,133,1618.61,1021.44
102,24,12.59,128,1611.52,1036.8
102,25,12.78,123,1571.94,1019.67
102,26,13.36,97,1295.92,860.39
102,27,13.73,113,1551.49,1044.12
102,28,12.05,141,1699.05,1065.96
102,29,11.6,150,1740.0,1066.5
102,30,12.18,112,1364.16,861.28
102,31,12.33,133,1639.89,1042.72
102,32,12.81,153,1959.93,1272.96
102,33,12.94,102,1319.88,861.9
102,34,12.92,101,1304.92,851.43
102,35,13.0,121,1573.0,1029.71
102,36,12.6,136,1713.6,1102.96
102,37,11.97,157,1879.29,1174.36
102,38,11.65,185,2155.25,1324.6
102,39,12.2,111,1354.2,855.81
102,40,12.1,137,1657.7,1042.57
102,41,12.95,129,1670.55,1091.34
102,42,13.43,107,1437.01,956.58
102,43,12.71,92,1169.32,756.24
102,44,12.33,141,1738.53,1105.44
102,45,12.05,106,1277.3,801.36
102,46,11.81,140,1653.4,1024.8
102,47,11.64,138,1606.32,986.7
102,48,12.52,101,1264.52,811.03
102,49,13.16,123,1618.68,1066.41
102,50,13.66,125,1707.5,1146.25
102,51,12.51,105,1313.55,842.1
102,52,12.69,129,1637.01,1057.8
103,1,12.82,15,192.3,7.5
103,2,12.82,10,128.2,5.0
103,3,12.82,9,115.38,4.5
103,4,12.82,9,115.38,4.5
103,5,12.82,8,102.56,4.0
103,6,12.82,8,102.56,4.0
103,7,12.82,5,64.1,2.5
103,8,12.82,5,64.1,2.5
103,9,12.82,10,128.2,5.0
103,10,12.82,6,76.92,3.0
103,11,12.82,9,115.38,4.5
103,12,12.82,8,102.56,4.0
103,13,12.82,7,89.74,3.5
103,14,12.82,9,115.38,4.5
103,15,12.82,8,102.56,4.0
103,16,12.82,10,128.2,5.0
103,17,12.82,8,102.56,4.0
103,18,12.82,10,128.2,5.0
103,19,12.82,7,89.74,3.5
103,20,12.82,7,89.74,3.5
103,21,12.82,9,115.38,4.5
103,22,12.82,10,128.2,5.0
103,23,12.82,10,128.2,5.0
103,24,12.82,7,89.74,3.5
103,25,12.82,7,89.74,3.5
103,26,12.82,9,115.38,4.5
103,27,12.82,8,102.56,4.0
103,28,12.82,6,76.92,3.0
103,29,12.82,6,76.92,3.0
103,30,12.82,6,76.92,3.0
103,31,12.82,8,102.56,4.0
103,32,12.82,6,76.92,3.0
103,33,12.82,8,102.56,4.0
103,34,12.82,9,115.38,4.5
103,35,12.82,7,89.74,3.5
103,36,12.82,7,89.74,3.5
103,37,12.82,9,115.38,4.5
103,38,12.82,6,76.92,3.0
103,39,12.82,5,64.1,2.5
103,40,12.82,9,115.38,4.5
103,41,12.82,7,89.74,3.5
103,42,12.82,7,89.74,3.5
103,43,12.82,10,128.2,5.0
103,44,12.82,7,89.74,3.5
103,45,12.82,9,115.38,4.5
103,46,12.82,9,115.38,4.5
103,47,12.82,7,89.74,3.5
103,48,12.82,9,115.38,4.5
103,49,12.82,8,102.56,4.0
103,50,12.82,7,89.74,3.5
103,51,12.82,8,102.56,4.0
103,52,12.82,10,128.2,5.0
104,1,11.74,16,187.84,86.08
104,2,12.09,13,157.17,74.49
104,3,11.69,13,151.97,69.29
104,4,11.11,15,166.65,71.25
104,5,10.57,18,190.26,75.78
104,6,10.07,23,231.61,85.33
104,7,10.2,15,153.0,57.6
104,8,11.38,16,182.08,80.32
104,9,11.67,15,175.05,79.65
104,10,11.66,12,139.92,63.6
104,11,11.49,13,149.37,66.69
